"Q1","Q2","Q3","Q4","Q5","Q6","expertise","group","Nendorsed"
1,0,1,1,1,0,7,"GroningenFaculty",4
1,1,1,0,1,1,6,"GroningenFaculty",5
0,0,1,0,0,0,8,"GroningenFaculty",1
0,0,0,1,1,1,8,"GroningenFaculty",3
0,0,1,0,0,1,7,"GroningenFaculty",2
1,1,1,0,1,1,7,"GroningenFaculty",5
1,1,1,1,0,0,6,"GroningenFaculty",4
1,0,1,1,1,0,7,"GroningenFaculty",4
1,1,1,1,1,0,5,"GroningenFaculty",5
0,0,1,0,0,0,5,"GroningenFaculty",1
0,1,1,1,1,1,8,"GroningenFaculty",5
0,0,1,1,1,1,6,"GroningenFaculty",4
1,1,1,1,1,0,7,"GroningenFaculty",5
0,0,1,1,0,1,7,"GroningenFaculty",3
0,0,1,0,1,1,6,"GroningenFaculty",3
0,0,1,1,1,0,7,"GroningenFaculty",3
0,0,1,1,0,1,3.5,"GroningenFaculty",3
0,0,0,0,0,1,4,"GroningenFaculty",1
0,0,1,1,1,0,5,"GroningenFaculty",3
1,1,1,1,0,0,6.8,"GroningenFaculty",4
1,0,1,1,1,1,8,"GroningenFaculty",5
0,0,1,1,1,1,5,"GroningenFaculty",4
1,1,1,1,1,1,9,"GroningenFaculty",6
0,0,1,0,0,1,8,"GroningenFaculty",2
0,0,1,1,1,0,7,"GroningenFaculty",3
0,0,1,0,1,1,6,"GroningenFaculty",3
1,1,1,1,1,1,6,"GroningenFaculty",6
1,1,1,1,1,1,8,"GroningenFaculty",6
1,1,1,0,1,1,5,"GroningenFaculty",5
1,0,1,0,0,1,5,"GroningenFaculty",3
0,0,1,0,0,0,6,"GroningenFaculty",1
0,1,1,0,1,0,6,"GroningenFaculty",3
0,0,0,0,1,1,5,"GroningenFaculty",2
0,0,1,0,1,0,7,"GroningenFaculty",2
1,1,1,1,1,1,7,"GroningenFaculty",6
0,1,0,1,0,1,7,"GroningenFaculty",3
1,1,1,1,1,1,7,"GroningenFaculty",6
0,1,1,0,0,0,6,"GroningenFaculty",2
1,1,1,1,1,0,7,"GroningenFaculty",5
1,1,1,1,1,1,6,"GroningenFaculty",6
0,0,1,0,1,1,7,"GroningenFaculty",3
1,1,1,1,0,0,5,"GroningenFaculty",4
0,1,1,1,1,0,7,"GroningenFaculty",4
1,1,1,1,1,0,10,"GroningenFaculty",5
0,0,1,1,1,0,6,"GroningenFaculty",3
0,0,1,0,1,1,8,"GroningenFaculty",3
1,1,1,1,0,0,8,"GroningenFaculty",4
0,0,0,0,0,0,8,"TilburgFaculty",0
0,0,0,0,0,0,5,"TilburgFaculty",0
0,1,1,0,0,0,7,"TilburgFaculty",2
0,1,1,1,1,1,7,"TilburgFaculty",5
0,0,1,1,0,1,8,"TilburgFaculty",3
0,0,0,0,0,0,10,"TilburgFaculty",0
0,0,1,0,1,1,7,"TilburgFaculty",3
1,1,1,1,1,1,7,"TilburgFaculty",6
0,0,1,0,0,0,8,"TilburgFaculty",1
